scorer,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
52,447.13836669921875,193.0094451904297,0.9941987991333008,427.9329833984375,209.0689697265625,0.9172006249427795,393.6832580566406,214.48867797851562,0.9058350324630737,309.67205810546875,200.1625518798828,0.9816466569900513
53,447.1114196777344,193.79623413085938,0.9938569068908691,427.5184631347656,210.64512634277344,0.8927881717681885,385.6941833496094,225.78118896484375,0.903577446937561,305.4273986816406,207.05984497070312,0.9677374958992004
54,447.03045654296875,193.04481506347656,0.9931644201278687,427.0205383300781,212.3380584716797,0.8928487300872803,377.95294189453125,231.94467163085938,0.8184373378753662,304.9213562011719,212.96585083007812,0.9902608394622803
55,447.9676513671875,191.31304931640625,0.9905464053153992,429.0816650390625,210.5260772705078,0.8889195919036865,359.15728759765625,242.2649688720703,0.7252225875854492,305.2626037597656,216.33712768554688,0.9910678863525391
56,447.966552734375,191.3602294921875,0.990064799785614,430.0364074707031,210.75311279296875,0.8857125043869019,349.28594970703125,244.44589233398438,0.7075783014297485,306.9084167480469,217.30860900878906,0.9935719966888428
57,448.3367919921875,191.31732177734375,0.9905518293380737,429.53857421875,209.9987030029297,0.8879925012588501,346.40380859375,243.21815490722656,0.8389519453048706,307.1802062988281,216.98251342773438,0.9932938814163208
58,448.2440490722656,191.55792236328125,0.9907904863357544,428.7560119628906,211.55206298828125,0.8815534114837646,346.96826171875,243.03749084472656,0.8216639757156372,306.943359375,216.93768310546875,0.9933046102523804
59,448.0273742675781,191.40518188476562,0.990281343460083,427.2094421386719,212.1350860595703,0.8846564888954163,346.96466064453125,242.56350708007812,0.8325080871582031,306.10748291015625,216.47166442871094,0.9932084083557129
60,449.26123046875,189.8996124267578,0.9840406775474548,416.690673828125,225.80174255371094,0.6110914945602417,347.697265625,242.37838745117188,0.9012424945831299,306.18011474609375,215.69248962402344,0.9941372871398926
61,449.0636901855469,190.20779418945312,0.9799408912658691,402.5137023925781,236.47816467285156,0.46720370650291443,346.98406982421875,242.96859741210938,0.9348319172859192,305.5838317871094,215.061279296875,0.9938799738883972
62,449.5892333984375,190.31283569335938,0.9754317402839661,387.37884521484375,239.61917114257812,0.6546028852462769,345.66650390625,243.77516174316406,0.9645726084709167,305.03033447265625,213.81820678710938,0.9932661056518555
63,449.9465026855469,190.6482391357422,0.9750620126724243,386.528076171875,239.30052185058594,0.6436601877212524,345.7264404296875,243.84324645996094,0.9688817262649536,305.32647705078125,214.19631958007812,0.9936806559562683
64,449.64825439453125,191.53778076171875,0.9823700189590454,386.137939453125,239.34840393066406,0.6505662798881531,345.35833740234375,244.06021118164062,0.9703905582427979,305.021484375,213.63128662109375,0.9939898252487183
65,431.6038513183594,211.5687255859375,0.993604838848114,390.05279541015625,238.23184204101562,0.8705806732177734,345.1495666503906,244.6437225341797,0.9739967584609985,303.9846496582031,213.73699951171875,0.9934605360031128
66,420.5915832519531,215.7748565673828,0.9838950037956238,391.9277648925781,237.8340606689453,0.9266011118888855,344.9968566894531,245.01708984375,0.9748923778533936,303.8704528808594,214.12461853027344,0.994099497795105
67,417.55908203125,218.03712463378906,0.9827786684036255,391.29095458984375,238.15333557128906,0.9428694844245911,343.7247619628906,244.9806671142578,0.9776519536972046,303.5687255859375,213.7254638671875,0.9936249852180481
68,417.5007019042969,217.94723510742188,0.9821279048919678,391.4098815917969,238.53826904296875,0.9442809820175171,344.1692810058594,244.8924560546875,0.9778225421905518,303.2927551269531,213.7835693359375,0.9929419755935669
